file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,expectSubscribersCountN/0,false,193,4,1,12,12,0,1,0,12,0,0,0,0,0,0,1,5,1,0,0,0,0,1,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,testError/0,false,289,4,1,8,4,0,1,0,8,0,0,0,0,0,0,4,1,1,0,0,0,0,1,6,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,coldWithSequentialSubscriptionsAndTerminalSignalChanges/0,false,59,3,1,8,9,0,1,0,8,0,0,0,0,0,0,16,0,1,0,0,0,0,0,12,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,nextVarargNull/0,false,271,2,1,5,4,0,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,coldWithSignalEmittingWithinStepVerifier/0,false,81,3,1,6,4,0,1,0,6,0,0,0,0,0,0,6,0,1,0,0,0,0,1,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,conditionalSupport/0,false,299,4,1,9,4,0,1,0,9,0,0,0,0,0,0,6,1,1,0,0,0,0,3,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,coldAllowsMultipleReplayOnSubscribe/0,false,115,3,1,6,6,0,1,0,6,0,0,0,0,0,0,4,2,1,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,emitCompletes/0,false,261,3,1,7,4,0,1,0,7,0,0,0,0,0,0,2,1,1,0,0,0,0,1,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,coldDisallowsNull/0,false,91,2,1,5,4,0,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,gh1236_test/0,false,34,3,1,6,4,0,1,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,emitVarargNull/0,false,280,2,1,5,4,0,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,coldWithSequentialSubscriptions/0,false,41,3,1,6,7,0,1,0,6,0,0,0,0,0,0,12,0,1,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,expectSubscribers/0,false,160,3,1,10,5,0,1,0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,1,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,expectMinRequestedFailure/0,false,244,2,1,16,7,0,1,0,16,0,0,0,0,0,0,3,3,1,0,0,0,0,2,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,expectAssertSubscribersN/0,false,175,3,1,10,10,0,1,0,10,0,0,0,0,0,0,1,3,1,0,0,0,0,1,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,coldDisallowsOverflow/0,false,100,4,1,12,5,0,2,0,12,0,0,0,0,0,0,6,1,1,0,0,0,0,3,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-core-3958e2fabf49e16229dda5df39e7cde46797ec51/reactor-test/src/test/java/reactor/test/publisher/ColdTestPublisherTests.java,reactor.test.publisher.ColdTestPublisherTests,coldIgnoresMultipleTerminations/0,false,129,4,1,8,20,0,3,0,8,0,0,0,0,0,0,4,1,3,0,0,1,0,0,23,1,1,false
