file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-netty-b26dfa119524d87a484be09f13031f56dac864c1/src/test/java/reactor/netty/udp/UdpServerTests.java,reactor.netty.udp.UdpServerTests,supportsUdpMulticast/0,false,132,9,8,42,60,3,20,0,42,1,2,3,1,1,1,5,12,14,1,4,0,0,7,51,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-netty-b26dfa119524d87a484be09f13031f56dac864c1/src/test/java/reactor/netty/udp/UdpServerTests.java,reactor.netty.udp.UdpServerTests,isMulticastEnabledIPv4Interface/1[java.net.NetworkInterface],false,217,0,6,6,17,4,2,1,6,0,0,1,1,1,0,0,0,2,0,2,0,0,0,17,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-netty-b26dfa119524d87a484be09f13031f56dac864c1/src/test/java/reactor/netty/udp/UdpServerTests.java,reactor.netty.udp.UdpServerTests,portBindingException/0,false,256,5,2,12,12,0,1,0,12,0,0,0,0,1,0,1,3,1,0,1,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-netty-b26dfa119524d87a484be09f13031f56dac864c1/src/test/java/reactor/netty/udp/UdpServerTests.java,reactor.netty.udp.UdpServerTests,setup/0,false,71,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-netty-b26dfa119524d87a484be09f13031f56dac864c1/src/test/java/reactor/netty/udp/UdpServerTests.java,reactor.netty.udp.UdpServerTests,cleanup/0,false,76,1,1,3,5,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-netty-b26dfa119524d87a484be09f13031f56dac864c1/src/test/java/reactor/netty/udp/UdpServerTests.java,reactor.netty.udp.UdpServerTests,supportsReceivingDatagrams/0,false,84,10,4,27,34,1,11,0,27,0,0,1,1,1,0,2,7,7,0,3,0,0,3,32,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-netty-b26dfa119524d87a484be09f13031f56dac864c1/src/test/java/reactor/netty/udp/UdpServerTests.java,reactor.netty.udp.UdpServerTests,findMulticastEnabledIPv4Interface/0,false,238,1,4,4,12,2,2,0,4,1,1,1,0,0,0,4,0,2,1,2,0,0,0,21,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-netty-b26dfa119524d87a484be09f13031f56dac864c1/src/test/java/reactor/netty/udp/UdpClientTest.java,reactor.netty.udp.UdpClientTest,smokeTest/0,false,38,12,2,40,44,4,18,0,40,0,0,0,0,0,0,9,6,9,3,2,0,0,6,28,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-netty-b26dfa119524d87a484be09f13031f56dac864c1/src/test/java/reactor/netty/udp/UdpClientTest.java,reactor.netty.udp.UdpClientTest,testIssue192/0,false,111,4,1,17,10,0,5,0,17,0,0,0,0,0,0,3,0,3,0,0,0,0,2,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reactor-netty-b26dfa119524d87a484be09f13031f56dac864c1/src/test/java/reactor/netty/resources/PooledConnectionProviderTest.java,reactor.netty.resources.PooledConnectionProviderTest$Anonymous1,close/0,false,79,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
