file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reddeer-59e55d29fc60a672d79df1ad1578badb8a2f8693/plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/handler/TreeViewerHandler.java,org.eclipse.reddeer.jface.handler.TreeViewerHandler$Anonymous1,run/0,false,145,3,5,6,30,1,8,0,6,0,0,1,2,0,0,0,2,16,2,3,0,0,0,22,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reddeer-59e55d29fc60a672d79df1ad1578badb8a2f8693/plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/handler/TreeViewerHandler.java,org.eclipse.reddeer.jface.handler.TreeViewerHandler$TreeItemTexts,"TreeItemTexts/2[java.lang.String,java.lang.String[]]",true,246,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reddeer-59e55d29fc60a672d79df1ad1578badb8a2f8693/plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/handler/TreeViewerHandler.java,org.eclipse.reddeer.jface.handler.TreeViewerHandler$TreeItemTexts,getNonStyledText/0,false,256,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reddeer-59e55d29fc60a672d79df1ad1578badb8a2f8693/plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/handler/TreeViewerHandler.java,org.eclipse.reddeer.jface.handler.TreeViewerHandler$TreeItemTexts,getStyledTexts/0,false,265,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reddeer-59e55d29fc60a672d79df1ad1578badb8a2f8693/plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/handler/TreeViewerHandler.java,org.eclipse.reddeer.jface.handler.TreeViewerHandler,"getTreeItem/2[org.eclipse.reddeer.jface.handler.Tree,java.lang.String[]]",false,55,3,1,3,3,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reddeer-59e55d29fc60a672d79df1ad1578badb8a2f8693/plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/handler/TreeViewerHandler.java,org.eclipse.reddeer.jface.handler.TreeViewerHandler,"getTreeItem/2[java.util.Iterator<org.eclipse.reddeer.jface.handler.TreeItem>,java.lang.String[]]",false,71,3,2,3,7,1,1,2,3,1,1,0,0,0,0,2,2,1,1,1,0,0,0,25,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reddeer-59e55d29fc60a672d79df1ad1578badb8a2f8693/plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/handler/TreeViewerHandler.java,org.eclipse.reddeer.jface.handler.TreeViewerHandler,"getTreeItems/2[java.util.Iterator<org.eclipse.reddeer.jface.handler.TreeItem>,java.lang.String[]]",false,108,3,8,10,28,1,5,2,10,1,2,2,4,0,0,2,4,6,2,4,0,0,0,29,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reddeer-59e55d29fc60a672d79df1ad1578badb8a2f8693/plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/handler/TreeViewerHandler.java,org.eclipse.reddeer.jface.handler.TreeViewerHandler,"getTreeItems/2[org.eclipse.reddeer.jface.handler.TreeItem,java.lang.String[]]",false,104,2,1,3,3,1,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reddeer-59e55d29fc60a672d79df1ad1578badb8a2f8693/plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/handler/TreeViewerHandler.java,org.eclipse.reddeer.jface.handler.TreeViewerHandler,getInstance/0,false,39,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/reddeer-59e55d29fc60a672d79df1ad1578badb8a2f8693/plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/handler/TreeViewerHandler.java,org.eclipse.reddeer.jface.handler.TreeViewerHandler,parseText/1[org.eclipse.reddeer.jface.handler.TreeItem],false,140,4,1,2,36,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,24,2,0,false
