file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/IOUtilsTest.java,sage.IOUtilsTest,testGetUrlAsString/0,false,15,3,2,6,6,0,1,0,6,0,0,0,1,0,0,3,1,1,0,1,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/IOUtilsTest.java,sage.IOUtilsTest,testReadFileAsString/0,false,28,3,2,5,6,0,1,0,5,0,0,0,1,0,0,3,1,1,0,1,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/IOUtilsTest.java,sage.IOUtilsTest,testCalcSHA1/0,false,41,2,1,2,4,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/TestUtils.java,sage.TestUtils,initializeSageTVForTesting/0,false,25,1,2,4,20,1,4,0,4,0,0,0,1,0,0,11,0,10,0,1,0,0,0,62,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/TestUtils.java,sage.TestUtils,getProjectRoot/0,false,73,0,4,2,14,1,0,0,2,0,0,0,1,0,0,5,0,4,1,3,0,0,0,25,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/TestUtils.java,sage.TestUtils,getTestResource/1[java.lang.String],false,62,1,2,1,4,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,19,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/TestUtils.java,sage.TestUtils,file2url/1[java.io.File],false,94,0,2,5,9,2,0,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/MediaFileTest.java,sage.MediaFileTest,"validateFile/4[java.lang.String,java.lang.String,boolean,boolean]",false,37,2,1,10,10,0,2,4,10,0,0,0,0,0,0,7,0,2,1,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/MediaFileTest.java,sage.MediaFileTest,testCreateValidFilename/0,false,17,3,1,2,10,0,3,0,2,1,1,0,0,0,0,7,0,11,2,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/FFMPEGTranscoderTest.java,sage.FFMPEGTranscoderTest,testTranscoderUsesOptionsFromProperties/0,false,46,3,4,10,39,0,2,0,10,0,0,0,0,4,0,8,4,6,1,2,0,0,0,20,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/FFMPEGTranscoderTest.java,sage.FFMPEGTranscoderTest,"expectSize/3[int[],int,int]",false,121,1,1,1,4,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/FFMPEGTranscoderTest.java,sage.FFMPEGTranscoderTest,testParseFrameSize/0,false,21,7,1,7,15,0,1,0,7,1,1,0,0,0,0,6,30,2,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,testFasterRandomFile/0,false,264,4,1,5,12,0,1,0,5,1,1,0,0,0,0,5,7,1,1,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,testSageDataFile/0,false,300,6,15,27,92,0,11,0,27,0,0,0,14,0,0,24,45,29,16,0,0,0,0,40,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,"randomRead/6[sage.io.SageFileSource,byte[],int,int,boolean,boolean]",false,135,3,12,6,37,0,5,6,6,0,0,1,4,0,2,0,12,16,14,3,0,0,0,19,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,getSageFileSource/0,false,37,5,2,1,23,1,2,0,1,0,0,1,0,0,0,20,20,11,16,1,0,0,0,14,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,testSageFileSourceEncrypted/0,false,280,5,1,6,16,0,1,0,6,2,1,0,0,0,0,3,11,1,1,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,testFastRandomFile/0,false,248,3,1,5,12,0,1,0,5,1,1,0,0,0,0,5,7,1,1,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,"testSageFileSourceWriteOnly/2[sage.io.SageFileSource,int]",false,584,3,3,4,12,0,0,2,4,1,1,0,0,1,0,3,2,0,0,2,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,"randomRead/6[sage.FastRandomFile,byte[],int,int,boolean,boolean]",false,73,3,11,6,37,0,5,6,6,0,0,1,1,1,2,0,10,13,14,2,0,0,0,21,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,"testSageFileSourceReadOnly/2[sage.io.SageFileSource,int]",false,576,3,1,3,5,0,0,2,3,1,1,0,0,0,0,3,2,0,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,"randomWrite/7[sage.io.SageFileSource,byte[],byte[],int,int,boolean,boolean]",false,200,3,9,7,26,0,4,7,7,0,0,1,0,0,2,0,10,9,13,2,0,0,0,17,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,"testSageFileSourceGeneral/2[sage.io.SageFileSource,int]",false,419,2,27,18,108,0,3,2,18,0,0,2,28,5,6,70,43,20,45,2,0,0,0,49,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,"testSageFileSourceRandomWrite/2[sage.io.SageFileSource,int]",false,604,3,3,4,14,0,0,2,4,1,1,0,0,1,0,3,5,0,0,2,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/io/SageFileSourceTest.java,sage.io.SageFileSourceTest,"testSageFileSourceRandomRead/2[sage.io.SageFileSource,int]",false,626,3,1,3,7,0,0,2,3,1,1,0,0,0,0,3,5,0,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/plugin/PluginWrapperTest.java,sage.plugin.PluginWrapperTest,"verifyMD5/3[java.lang.String,java.lang.String,java.lang.String]",false,39,1,1,3,5,0,1,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/plugin/PluginWrapperTest.java,sage.plugin.PluginWrapperTest,testGetMD5/0,false,16,3,1,3,9,0,2,0,3,1,1,0,0,0,0,5,0,3,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/plugin/PluginEventManagerTest.java,sage.plugin.PluginEventManagerTest$Anonymous1,"sageEvent/2[java.lang.String,java.util.Map]",false,32,0,1,2,4,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/plugin/PluginEventManagerTest.java,sage.plugin.PluginEventManagerTest,setup/0,false,20,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/plugin/PluginEventManagerTest.java,sage.plugin.PluginEventManagerTest,testEventPost/0,false,26,3,1,8,16,0,2,0,8,0,0,0,0,0,0,3,1,2,0,0,1,0,0,23,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/plugin/CorePluginManagerTest.java,sage.plugin.CorePluginManagerTest,testInstallPluginWithZipPackageInJARs/0,false,62,6,2,18,18,0,7,0,18,0,0,0,0,0,0,8,0,7,1,1,0,0,0,36,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/plugin/CorePluginManagerTest.java,sage.plugin.CorePluginManagerTest,testStagedRenamerWriter/0,false,89,2,1,3,6,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/plugin/CorePluginManagerTest.java,sage.plugin.CorePluginManagerTest,testInstallPluginWithJarPackage/0,false,31,7,1,27,21,0,9,0,27,0,0,0,0,0,0,9,1,9,5,0,0,0,0,31,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/plugin/CorePluginManagerTest.java,sage.plugin.CorePluginManagerTest,setup/0,false,22,2,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/LinuxUtilsTest.java,sage.LinuxUtilsTest,testGetIPAddressFromInetInfo/0,false,14,2,1,3,9,0,3,0,3,0,0,0,0,0,0,24,0,3,3,0,0,0,0,37,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/TestData.java,sage.TestData,(initializer 1),false,49,0,1,1,6,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,8,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/SDUtilsTest.java,sage.epg.sd.SDUtilsTest,testDateConversion/0,false,51,2,2,3,4,0,1,0,3,0,0,0,1,0,0,6,1,1,2,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/SDUtilsTest.java,sage.epg.sd.SDUtilsTest,testRemoveLeadingZeros/0,false,58,2,1,2,14,0,1,0,2,0,0,0,0,0,0,22,0,6,6,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/SDUtilsTest.java,sage.epg.sd.SDUtilsTest,testProgramIDConversion/0,false,76,2,1,3,10,0,1,0,3,0,0,0,0,0,0,14,0,4,4,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/SDUtilsTest.java,sage.epg.sd.SDUtilsTest,testStationIdConversions/0,false,28,2,1,3,11,0,6,0,3,0,0,0,0,0,0,13,0,6,3,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/SDUtilsTest.java,sage.epg.sd.SDUtilsTest,testDateTimeConversion/0,false,44,2,2,1,4,0,1,0,1,0,0,0,1,0,0,6,1,1,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/locale/SDRegionDeserializerTest.java,sage.epg.sd.json.locale.SDRegionDeserializerTest,deserialize/0,false,27,3,1,1,4,0,2,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/locale/SDLanguageDeserializerTest.java,sage.epg.sd.json.locale.SDLanguageDeserializerTest,deserialize/0,false,27,3,1,1,4,0,2,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/images/SDProgramImagesDeserializerTest.java,sage.epg.sd.json.images.SDProgramImagesDeserializerTest,deserializeError/0,false,27,3,2,2,5,0,2,0,2,0,0,0,1,0,0,6,2,2,0,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/images/SDProgramImagesDeserializerTest.java,sage.epg.sd.json.images.SDProgramImagesDeserializerTest,deserialize/0,false,43,4,4,9,13,0,2,0,9,0,0,1,6,0,0,6,7,2,0,1,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/images/SDProgramImagesDeserializerTest.java,sage.epg.sd.json.images.SDProgramImagesDeserializerTest,deserializeTMSError/0,false,35,3,2,2,5,0,2,0,2,0,0,0,1,0,0,6,2,2,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/schedules/SDStationScheduleTest.java,sage.epg.sd.json.schedules.SDStationScheduleTest,deserializeError/0,false,36,3,2,2,5,0,2,0,2,0,0,0,1,0,0,5,1,2,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/schedules/SDStationScheduleTest.java,sage.epg.sd.json.schedules.SDStationScheduleTest,deserialize/0,false,52,5,6,10,13,0,2,0,10,0,0,1,7,0,0,4,1,2,0,1,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/schedules/SDStationScheduleTest.java,sage.epg.sd.json.schedules.SDStationScheduleTest,deserializeRangeError/0,false,44,3,2,2,5,0,2,0,2,0,0,0,1,0,0,5,1,2,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/schedules/SDStationScheduleTest.java,sage.epg.sd.json.schedules.SDStationScheduleTest,deserializeRetry/0,false,27,3,3,3,6,0,2,0,3,0,0,0,2,0,0,5,1,2,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/schedules/SDStationScheduleTest.java,sage.epg.sd.json.schedules.SDStationScheduleTest,deserializeBadVideoProperties/0,false,70,5,3,10,15,0,2,0,10,0,0,2,7,0,0,4,1,2,0,2,0,0,0,22,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/schedules/SDScheduleMd5ArrayDeserializerTest.java,sage.epg.sd.json.schedules.SDScheduleMd5ArrayDeserializerTest,testDeserializeScheduleFull/0,false,27,3,3,2,6,0,2,0,2,0,0,0,2,0,0,4,1,2,0,0,0,0,0,20,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/schedules/SDScheduleMd5ArrayDeserializerTest.java,sage.epg.sd.json.schedules.SDScheduleMd5ArrayDeserializerTest,testDeserializeScheduleGaps/0,false,36,3,3,2,6,0,2,0,2,0,0,0,2,0,0,4,1,2,0,0,0,0,0,20,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDSeriesDescDeserializerTest.java,sage.epg.sd.json.programs.SDSeriesDescDeserializerTest,deserializeError/0,false,35,4,2,3,5,0,2,0,3,0,0,0,1,0,0,6,2,2,0,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDSeriesDescDeserializerTest.java,sage.epg.sd.json.programs.SDSeriesDescDeserializerTest,deserialize/0,false,43,4,2,7,11,0,2,0,7,0,0,1,5,0,0,5,1,2,0,1,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDSeriesDescDeserializerTest.java,sage.epg.sd.json.programs.SDSeriesDescDeserializerTest,deserializeRetry/0,false,27,4,2,3,5,0,2,0,3,0,0,0,1,0,0,6,2,2,0,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDInProgressSportTest.java,sage.epg.sd.json.programs.SDInProgressSportTest,deserializeComplete/0,false,36,4,4,8,10,0,2,0,8,1,1,0,2,0,0,5,2,2,0,0,0,0,0,20,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDInProgressSportTest.java,sage.epg.sd.json.programs.SDInProgressSportTest,deserializeRetry/0,false,70,3,2,2,5,0,2,0,2,0,0,0,1,0,0,5,1,2,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDInProgressSportTest.java,sage.epg.sd.json.programs.SDInProgressSportTest,verifyTeam/1[sage.epg.sd.json.programs.SDInProgressSport.TeamResult],false,26,1,6,3,7,0,0,1,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDInProgressSportTest.java,sage.epg.sd.json.programs.SDInProgressSportTest,deserializeIncomplete/0,false,49,4,4,8,10,0,2,0,8,1,1,0,2,0,0,5,2,2,0,0,0,0,0,20,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDInProgressSportTest.java,sage.epg.sd.json.programs.SDInProgressSportTest,deserializeError/0,false,78,3,2,2,5,0,2,0,2,0,0,0,1,0,0,5,1,2,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDInProgressSportTest.java,sage.epg.sd.json.programs.SDInProgressSportTest,deserializeFuture/0,false,62,3,2,2,5,0,2,0,2,0,0,0,1,0,0,5,1,2,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDProgramMetadataDeserializerTest.java,sage.epg.sd.json.programs.SDProgramMetadataDeserializerTest,deserialize/0,false,27,3,6,6,9,0,2,0,6,0,0,0,5,0,0,5,4,2,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDProgramsTest.java,sage.epg.sd.json.programs.SDProgramsTest,deserializeRetry/0,false,136,3,2,2,5,0,2,0,2,0,0,0,1,0,0,5,1,2,0,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDProgramsTest.java,sage.epg.sd.json.programs.SDProgramsTest,deserializeEpisode/0,false,152,4,1,2,5,0,2,0,2,1,1,0,0,0,0,5,0,2,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDProgramsTest.java,sage.epg.sd.json.programs.SDProgramsTest,deserializeSeries/0,false,160,4,1,2,5,0,2,0,2,1,1,0,0,0,0,5,0,2,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDProgramsTest.java,sage.epg.sd.json.programs.SDProgramsTest,basicValidation/1[sage.epg.sd.json.programs.SDProgram],false,27,11,31,36,74,0,0,1,36,0,0,9,41,0,0,1,7,0,0,3,0,0,0,21,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDProgramsTest.java,sage.epg.sd.json.programs.SDProgramsTest,deserializeError/0,false,144,3,2,2,5,0,2,0,2,0,0,0,1,0,0,5,1,2,0,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDProgramsTest.java,sage.epg.sd.json.programs.SDProgramsTest,deserializeMovie/0,false,168,4,1,2,5,0,2,0,2,1,1,0,0,0,0,5,0,2,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sagetv-a35e3a450b4c0134cb097b9e7de76dca08eb6654/test/java/sage/epg/sd/json/programs/SDProgramsTest.java,sage.epg.sd.json.programs.SDProgramsTest,deserializeSports/0,false,176,4,1,2,5,0,2,0,2,1,1,0,0,0,0,5,0,2,0,0,0,0,0,16,1,0,false
