file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/stax/impl/securityToken/SecurityTokenFactoryImplTest.java,org.apache.xml.security.stax.impl.securityToken.SecurityTokenFactoryImplTest,testKeyNameTokenWithWrongKeyInMap/0,false,123,8,1,7,12,0,6,0,7,0,0,0,0,0,0,4,0,6,0,0,0,0,0,31,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/stax/impl/securityToken/SecurityTokenFactoryImplTest.java,org.apache.xml.security.stax.impl.securityToken.SecurityTokenFactoryImplTest,testKeyNameTokenWithSignatureVerificationKeySet/0,false,89,10,1,9,11,0,4,0,9,0,0,0,0,0,0,6,0,4,0,0,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/stax/impl/securityToken/SecurityTokenFactoryImplTest.java,org.apache.xml.security.stax.impl.securityToken.SecurityTokenFactoryImplTest,testKeyNameToken/0,false,73,8,1,8,9,0,3,0,8,0,0,0,0,0,0,4,0,3,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/stax/impl/securityToken/SecurityTokenFactoryImplTest.java,org.apache.xml.security.stax.impl.securityToken.SecurityTokenFactoryImplTest,testKeyNameTokenWithoutKeyInMap/0,false,108,7,1,3,8,0,3,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/stax/impl/securityToken/SecurityTokenFactoryImplTest.java,org.apache.xml.security.stax.impl.securityToken.SecurityTokenFactoryImplTest,setUp/0,false,56,6,1,6,10,0,2,0,6,0,0,0,0,0,0,2,0,5,0,0,0,0,0,21,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest$Anonymous1,getNamespaceURI/1[java.lang.String],false,76,0,2,1,6,2,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest$Anonymous1,getPrefixes/1[java.lang.String],false,94,1,1,3,5,1,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest$Anonymous1,getPrefix/1[java.lang.String],false,84,0,3,1,9,3,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest,testIdentityTransformResult/0,false,64,5,1,58,94,0,7,0,58,0,0,0,0,0,0,100,4,7,0,0,1,0,0,49,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest,setUp/0,false,58,2,1,5,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest,testNullPrefix/0,false,197,5,1,4,10,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,21,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest$EventWriterProcessor,EventWriterProcessor/1[java.io.Writer],true,213,0,1,2,4,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest$EventWriterProcessor,addAfterProcessor/1[java.lang.Object],false,240,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest$EventWriterProcessor,getBeforeProcessors/0,false,235,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest$EventWriterProcessor,setAction/1[org.apache.xml.security.stax.ext.XMLSecurityConstants.Action],false,223,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest$EventWriterProcessor,addBeforeProcessor/1[java.lang.Object],false,231,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/santuario-java-fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/XMLSecurityStreamWriterTest.java,org.apache.xml.security.test.stax.XMLSecurityStreamWriterTest$EventWriterProcessor,"processNextEvent/2[org.apache.xml.security.stax.ext.stax.XMLSecEvent,org.apache.xml.security.stax.ext.OutputProcessorChain]",false,254,3,1,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
