file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-jdbc-913238a822ed04a24dd03cb704fd03a454d34c01/spring-data-jdbc/src/test/java/org/springframework/data/jdbc/mapping/model/NamingStrategyUnitTests.java,org.springframework.data.jdbc.mapping.model.NamingStrategyUnitTests,getColumnName/0,false,51,2,1,4,5,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-jdbc-913238a822ed04a24dd03cb704fd03a454d34c01/spring-data-jdbc/src/test/java/org/springframework/data/jdbc/mapping/model/NamingStrategyUnitTests.java,org.springframework.data.jdbc.mapping.model.NamingStrategyUnitTests,getQualifiedTableName/0,false,80,2,1,4,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-jdbc-913238a822ed04a24dd03cb704fd03a454d34c01/spring-data-jdbc/src/test/java/org/springframework/data/jdbc/mapping/model/NamingStrategyUnitTests.java,org.springframework.data.jdbc.mapping.model.NamingStrategyUnitTests,getReverseColumnName/0,false,62,2,1,4,3,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-jdbc-913238a822ed04a24dd03cb704fd03a454d34c01/spring-data-jdbc/src/test/java/org/springframework/data/jdbc/mapping/model/NamingStrategyUnitTests.java,org.springframework.data.jdbc.mapping.model.NamingStrategyUnitTests,getSchema/0,false,75,2,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-jdbc-913238a822ed04a24dd03cb704fd03a454d34c01/spring-data-jdbc/src/test/java/org/springframework/data/jdbc/mapping/model/NamingStrategyUnitTests.java,org.springframework.data.jdbc.mapping.model.NamingStrategyUnitTests,getKeyColumn/0,false,68,2,1,4,3,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-jdbc-913238a822ed04a24dd03cb704fd03a454d34c01/spring-data-jdbc/src/test/java/org/springframework/data/jdbc/mapping/model/NamingStrategyUnitTests.java,org.springframework.data.jdbc.mapping.model.NamingStrategyUnitTests,getTableName/0,false,46,2,1,4,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-jdbc-913238a822ed04a24dd03cb704fd03a454d34c01/spring-data-jdbc/src/test/java/org/springframework/data/jdbc/repository/JdbcRepositoryIdGenerationIntegrationTests.java,org.springframework.data.jdbc.repository.JdbcRepositoryIdGenerationIntegrationTests$TestConfiguration,testClass/0,false,127,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-jdbc-913238a822ed04a24dd03cb704fd03a454d34c01/spring-data-jdbc/src/test/java/org/springframework/data/jdbc/repository/JdbcRepositoryIdGenerationIntegrationTests.java,org.springframework.data.jdbc.repository.JdbcRepositoryIdGenerationIntegrationTests$TestConfiguration,namingStrategy/0,false,136,3,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-jdbc-913238a822ed04a24dd03cb704fd03a454d34c01/spring-data-jdbc/src/test/java/org/springframework/data/jdbc/repository/JdbcRepositoryIdGenerationIntegrationTests.java,org.springframework.data.jdbc.repository.JdbcRepositoryIdGenerationIntegrationTests,primitiveIdGetsSet/0,false,86,2,1,9,11,0,3,0,9,0,0,0,0,0,0,1,1,2,0,1,0,0,1,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-jdbc-913238a822ed04a24dd03cb704fd03a454d34c01/spring-data-jdbc/src/test/java/org/springframework/data/jdbc/repository/JdbcRepositoryIdGenerationIntegrationTests.java,org.springframework.data.jdbc.repository.JdbcRepositoryIdGenerationIntegrationTests,idWithoutSetterGetsSet/0,false,72,2,1,8,9,0,2,0,8,0,0,0,0,0,0,1,0,1,0,1,0,0,1,13,1,0,false
