file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/.mvn/wrapper/MavenWrapperDownloader.java,MavenWrapperDownloader,"downloadFileFromURL/2[java.lang.String,java.io.File]",false,100,0,1,6,9,0,3,2,6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,18,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/.mvn/wrapper/MavenWrapperDownloader.java,MavenWrapperDownloader,main/1[java.lang.String[]],false,51,1,8,11,46,0,6,1,11,1,1,0,1,3,0,10,3,8,5,4,0,0,0,43,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/src/test/java/org/springframework/data/solr/repository/ITestSolrRepositoryOperations.java,org.springframework.data.solr.repository.ITestSolrRepositoryOperations,testFindByNotIn/0,false,278,3,1,4,4,0,1,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/src/test/java/org/springframework/data/solr/repository/ITestSolrRepositoryOperations.java,org.springframework.data.solr.repository.ITestSolrRepositoryOperations,testFacetOnMulipleQueries/0,false,568,6,1,11,10,0,2,0,11,0,0,0,0,0,0,2,10,2,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/src/test/java/org/springframework/data/solr/repository/ITestSolrRepositoryOperations.java,org.springframework.data.solr.repository.ITestSolrRepositoryOperations,testDerivedDeleteByQueryRemovesDocumentAndReturnsNumberDeletedCorrectly/0,false,924,3,1,7,6,0,2,0,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/src/test/java/org/springframework/data/solr/repository/ITestSolrRepositoryOperations.java,org.springframework.data.solr.repository.ITestSolrRepositoryOperations,testStatsAnnotatedMethod/0,false,1017,8,1,11,24,0,5,0,11,1,2,0,0,0,0,13,5,5,0,0,0,0,0,22,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/src/test/java/org/springframework/data/solr/repository/ITestSolrRepositoryOperations.java,org.springframework.data.solr.repository.ITestSolrRepositoryOperations,testProjectionOnFieldsForStringBasedQuery/0,false,497,3,2,6,8,0,1,0,6,0,0,1,0,0,0,1,0,1,0,1,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/src/test/java/org/springframework/data/solr/repository/ITestSolrRepositoryOperations.java,org.springframework.data.solr.repository.ITestSolrRepositoryOperations,testAnnotatedDeleteByQueryRemovesDocumensCorrectly/0,false,942,3,1,7,6,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/src/test/java/org/springframework/data/solr/repository/ITestSolrRepositoryOperations.java,org.springframework.data.solr.repository.ITestSolrRepositoryOperations,testFindOne/0,false,99,2,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/src/test/java/org/springframework/data/solr/repository/ITestSolrRepositoryOperations.java,org.springframework.data.solr.repository.ITestSolrRepositoryOperations,testFindByRegex/0,false,465,3,2,6,7,0,1,0,6,0,0,1,0,0,0,2,1,1,0,1,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/src/test/java/org/springframework/data/solr/repository/ITestSolrRepositoryOperations.java,org.springframework.data.solr.repository.ITestSolrRepositoryOperations,testFindWithSortDescForNamedQuery/0,false,424,5,3,12,15,0,6,0,12,1,2,2,0,0,0,1,4,7,0,1,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-data-solr-6db215cf28337895ec40ed28082fa895846680bb/src/test/java/org/springframework/data/solr/repository/ITestSolrRepositoryOperations.java,org.springframework.data.solr.repository.ITestSolrRepositoryOperations,testPagination/0,false,474,4,1,9,12,0,3,0,9,0,0,0,0,0,0,2,7,4,0,0,0,0,0,6,1,0,false
