file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-hadoop-cda92b8ab6b5e8a8defe8ae5822e966e0a9d34eb/spring-hadoop-spark/src/test/java/org/springframework/data/hadoop/batch/spark/test/SparkHashtags.java,org.springframework.data.hadoop.batch.spark.test.SparkHashtags,main/1[java.lang.String[]],false,40,9,2,13,57,0,10,1,13,0,0,0,0,0,0,4,3,11,1,1,5,0,0,34,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-hadoop-cda92b8ab6b5e8a8defe8ae5822e966e0a9d34eb/spring-hadoop-spark/src/test/java/org/springframework/data/hadoop/batch/spark/test/SparkHashtags.java,org.springframework.data.hadoop.batch.spark.test.SparkHashtags$Anonymous1,call/1[java.lang.String],false,51,1,1,2,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-hadoop-cda92b8ab6b5e8a8defe8ae5822e966e0a9d34eb/spring-hadoop-spark/src/test/java/org/springframework/data/hadoop/batch/spark/test/SparkHashtags.java,org.springframework.data.hadoop.batch.spark.test.SparkHashtags$Anonymous3,"call/1[java.util.Map<java.lang.String,java.lang.Object>]",false,58,1,5,4,15,1,4,1,4,0,0,1,2,0,0,3,2,5,0,2,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-hadoop-cda92b8ab6b5e8a8defe8ae5822e966e0a9d34eb/spring-hadoop-spark/src/test/java/org/springframework/data/hadoop/batch/spark/test/SparkHashtags.java,org.springframework.data.hadoop.batch.spark.test.SparkHashtags$Anonymous4,"call/2[java.lang.Integer,java.lang.Integer]",false,77,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-hadoop-cda92b8ab6b5e8a8defe8ae5822e966e0a9d34eb/spring-hadoop-spark/src/test/java/org/springframework/data/hadoop/batch/spark/test/SparkHashtags.java,org.springframework.data.hadoop.batch.spark.test.SparkHashtags$Anonymous5,"call/1[org.springframework.data.hadoop.batch.spark.test.Tuple2<java.lang.String,java.lang.Integer>]",false,84,1,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-hadoop-cda92b8ab6b5e8a8defe8ae5822e966e0a9d34eb/spring-hadoop-spark/src/test/java/org/springframework/data/hadoop/batch/spark/test/SparkHashtags.java,org.springframework.data.hadoop.batch.spark.test.SparkHashtags$Anonymous6,"call/1[org.springframework.data.hadoop.batch.spark.test.Tuple2<java.lang.Integer,java.lang.String>]",false,89,1,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-hadoop-cda92b8ab6b5e8a8defe8ae5822e966e0a9d34eb/spring-hadoop-spark/src/main/java/org/springframework/data/hadoop/batch/spark/SparkYarnTasklet.java,org.springframework.data.hadoop.batch.spark.SparkYarnTasklet,setArguments/1[java.lang.String[]],false,212,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-hadoop-cda92b8ab6b5e8a8defe8ae5822e966e0a9d34eb/spring-hadoop-spark/src/main/java/org/springframework/data/hadoop/batch/spark/SparkYarnTasklet.java,org.springframework.data.hadoop.batch.spark.SparkYarnTasklet,setResourceFiles/1[java.lang.String],false,184,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-hadoop-cda92b8ab6b5e8a8defe8ae5822e966e0a9d34eb/spring-hadoop-spark/src/main/java/org/springframework/data/hadoop/batch/spark/SparkYarnTasklet.java,org.springframework.data.hadoop.batch.spark.SparkYarnTasklet,setDriverMemory/1[java.lang.String],false,200,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-hadoop-cda92b8ab6b5e8a8defe8ae5822e966e0a9d34eb/spring-hadoop-spark/src/main/java/org/springframework/data/hadoop/batch/spark/SparkYarnTasklet.java,org.springframework.data.hadoop.batch.spark.SparkYarnTasklet,afterStep/1[org.springframework.data.hadoop.batch.spark.StepExecution],false,132,2,2,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
