file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-ldap-6a9bde34811b87b5425c05068a31ff61d7e59170/ldif/ldif-batch/src/test/java/org/springframework/ldap/ldif/batch/MappingLdifReaderTest.java,org.springframework.ldap.ldif.batch.MappingLdifReaderTest,testValidRun/0,false,59,2,2,10,12,0,1,0,10,0,0,0,0,1,0,3,0,1,1,1,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-ldap-6a9bde34811b87b5425c05068a31ff61d7e59170/ldif/ldif-batch/src/test/java/org/springframework/ldap/ldif/batch/MappingLdifReaderTest.java,org.springframework.ldap.ldif.batch.MappingLdifReaderTest,checkFiles/0,false,54,1,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-ldap-6a9bde34811b87b5425c05068a31ff61d7e59170/ldif/ldif-batch/src/test/java/org/springframework/ldap/ldif/batch/MappingLdifReaderTest.java,org.springframework.ldap.ldif.batch.MappingLdifReaderTest,MappingLdifReaderTest/0,true,44,1,2,1,9,0,0,0,1,0,0,0,0,1,0,3,0,2,0,1,0,0,0,17,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-ldap-6a9bde34811b87b5425c05068a31ff61d7e59170/ldif/ldif-batch/src/test/java/org/springframework/ldap/ldif/batch/MappingLdifReaderTest.java,org.springframework.ldap.ldif.batch.MappingLdifReaderTest,testResourceNotExists/0,false,77,2,1,7,5,0,1,0,7,0,0,0,0,0,0,5,0,1,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-ldap-6a9bde34811b87b5425c05068a31ff61d7e59170/ldif/ldif-batch/src/test/java/org/springframework/ldap/ldif/batch/LdifReaderTest.java,org.springframework.ldap.ldif.batch.LdifReaderTest,LdifReaderTest/0,true,44,1,2,1,9,0,0,0,1,0,0,0,0,1,0,3,0,2,0,1,0,0,0,16,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-ldap-6a9bde34811b87b5425c05068a31ff61d7e59170/ldif/ldif-batch/src/test/java/org/springframework/ldap/ldif/batch/LdifReaderTest.java,org.springframework.ldap.ldif.batch.LdifReaderTest,testValidRun/0,false,59,2,2,10,12,0,1,0,10,0,0,0,0,1,0,3,0,1,1,1,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-ldap-6a9bde34811b87b5425c05068a31ff61d7e59170/ldif/ldif-batch/src/test/java/org/springframework/ldap/ldif/batch/LdifReaderTest.java,org.springframework.ldap.ldif.batch.LdifReaderTest,checkFiles/0,false,54,1,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-ldap-6a9bde34811b87b5425c05068a31ff61d7e59170/ldif/ldif-batch/src/test/java/org/springframework/ldap/ldif/batch/LdifReaderTest.java,org.springframework.ldap.ldif.batch.LdifReaderTest,testResourceNotExists/0,false,77,2,1,7,5,0,1,0,7,0,0,0,0,0,0,5,0,1,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-ldap-6a9bde34811b87b5425c05068a31ff61d7e59170/ldif/ldif-batch/src/test/java/org/springframework/ldap/ldif/batch/MyMapper.java,org.springframework.ldap.ldif.batch.MyMapper,mapRecord/1[org.springframework.ldap.core.LdapAttributes],false,31,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-ldap-6a9bde34811b87b5425c05068a31ff61d7e59170/ldif/ldif-batch/src/main/java/org/springframework/ldap/ldif/batch/LdifAggregator.java,org.springframework.ldap.ldif.batch.LdifAggregator,aggregate/1[org.springframework.ldap.core.LdapAttributes],false,39,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,true
