file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/JwtSpecData.java,org.springframework.security.jwt.JwtSpecData,(initializer 1),false,25,2,2,0,7,0,2,0,0,0,0,1,0,0,0,0,65,4,0,1,0,0,0,11,8,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/cipher/RsaTestKeyData.java,org.springframework.security.jwt.crypto.cipher.RsaTestKeyData,(initializer 1),false,25,2,3,0,8,0,4,0,0,0,0,2,0,0,0,0,514,8,0,1,0,0,0,5,8,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/RsaSigningTests.java,org.springframework.security.jwt.crypto.sign.RsaSigningTests,keysFromPrivateAndPublicKeyStringDataAreCorrect/0,false,39,5,1,3,13,0,4,0,3,0,0,0,0,0,0,1,0,7,0,0,0,0,0,19,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/RsaSigningTests.java,org.springframework.security.jwt.crypto.sign.RsaSigningTests,rsaSignerRejectsInvalidKey/0,false,27,2,1,1,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/RsaSigningTests.java,org.springframework.security.jwt.crypto.sign.RsaSigningTests,rsaSignerValidKeyWithWhitespace/0,false,33,2,1,1,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,verifyWhenP256CurveAndSignatureDoesNotMatchThenThrowInvalidSignatureException/0,false,58,3,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,constructorWhenUnsupportedCurveThenThrowIllegalArgumentException/0,false,48,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,verifyWhenP521CurveAndSignatureMatchesThenVerificationPasses/0,false,73,2,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,verifyWhenP521CurveAndSignatureDoesNotMatchThenThrowInvalidSignatureException/0,false,78,3,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,"verifyWhenSignatureMatchesThenVerificationPasses/2[java.lang.String,java.lang.String]",false,100,4,1,11,9,0,6,2,11,2,1,0,0,0,0,1,0,6,0,0,0,0,0,25,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,verifyWhenSignatureAlgorithmNotSameAsVerificationAlgorithmThenThrowInvalidSignatureException/0,false,83,6,1,11,9,0,6,0,11,2,1,0,0,0,0,1,0,6,0,0,0,0,0,33,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,"verifyWhenSignatureDoesNotMatchThenThrowInvalidSignatureException/2[java.lang.String,java.lang.String]",false,117,4,1,11,9,0,6,2,11,2,1,0,0,0,0,2,0,6,0,0,0,0,0,29,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,verifyWhenP384CurveAndSignatureMatchesThenVerificationPasses/0,false,63,2,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,verifyWhenP256CurveAndSignatureMatchesThenVerificationPasses/0,false,53,2,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,"generateJwsSignature/3[byte[],java.lang.String,java.security.interfaces.ECPrivateKey]",false,141,2,4,6,17,1,3,3,6,0,0,0,0,0,0,0,4,6,0,1,0,0,0,12,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,(initializer 1),false,43,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,verifyWhenP384CurveAndSignatureDoesNotMatchThenThrowInvalidSignatureException/0,false,68,3,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/crypto/sign/EllipticCurveVerifierTests.java,org.springframework.security.jwt.crypto.sign.EllipticCurveVerifierTests,generateKeyPair/1[java.lang.String],false,134,0,1,3,6,1,2,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,13,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/RubyJwtIntegrationTests.java,org.springframework.security.jwt.RubyJwtIntegrationTests$JRubyJwtInstalled$Anonymous1,evaluate/0,false,118,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-security-oauth-bbae0027eceb2c74a21ac26bbc86142dc732ffbe/spring-security-jwt/src/test/java/org/springframework/security/jwt/RubyJwtIntegrationTests.java,org.springframework.security.jwt.RubyJwtIntegrationTests$JRubyJwtInstalled,JRubyJwtInstalled/0,true,94,1,3,3,15,0,2,0,3,0,0,0,0,1,0,4,0,5,2,2,0,0,0,27,1,0,false
