file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests$QualifiedConnectionFactoryRedisConfig,qualifiedRedisConnectionFactory/0,false,285,3,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests$RedisConfig,defaultRedisConnectionFactory/0,false,242,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests$SpringSessionRedisOperationsResolvingConfig,getSpringSessionRedisOperations/0,false,259,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests$NamedConnectionFactoryRedisConfig,redisConnectionFactory/0,false,323,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,after/0,false,61,1,2,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,defaultConfiguration/0,false,68,5,1,4,5,0,1,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,multipleConnectionFactoryRedisConfig/0,false,196,4,1,4,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,customMaxInactiveInterval/0,false,104,5,1,6,6,0,1,0,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,30,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,primaryConnectionFactoryRedisConfig/0,false,144,7,1,6,10,0,3,0,6,1,1,0,0,0,0,3,0,3,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,customRedisSerializerConfig/0,false,205,8,1,11,14,0,4,0,11,1,1,0,0,0,0,7,0,4,0,0,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,qualifiedConnectionFactoryRedisConfig/0,false,126,7,1,6,10,0,3,0,6,1,1,0,0,0,0,3,0,3,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,qualifiedAndPrimaryConnectionFactoryRedisConfig/0,false,161,7,1,6,10,0,3,0,6,1,1,0,0,0,0,3,0,3,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,namedConnectionFactoryRedisConfig/0,false,179,7,1,6,10,0,3,0,6,1,1,0,0,0,0,3,0,3,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,registerAndRefresh/1[java.lang.Class<?>[]],false,233,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,springSessionRedisOperationsResolvingConfiguration/0,false,77,6,1,7,8,0,2,0,7,1,1,0,0,0,0,1,0,2,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,customFlushMode/0,false,115,5,1,6,6,0,1,0,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,before/0,false,56,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests,customNamespace/0,false,93,5,1,6,6,0,1,0,6,1,1,0,0,0,0,2,0,1,1,0,0,0,0,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests$CustomRedisSerializerConfig,springSessionDefaultRedisSerializer/0,false,344,2,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests$QualifiedAndPrimaryConnectionFactoryRedisConfig,primaryRedisConnectionFactory/0,false,313,3,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests$QualifiedAndPrimaryConnectionFactoryRedisConfig,qualifiedRedisConnectionFactory/0,false,307,3,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests$MultipleConnectionFactoryRedisConfig,secondaryRedisConnectionFactory/0,false,333,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/server/RedisWebSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.server.RedisWebSessionConfigurationTests$PrimaryConnectionFactoryRedisConfig,primaryRedisConnectionFactory/0,false,296,3,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationMockTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationMockTests,enableRedisKeyspaceNotificationsInitializerAfterPropertiesSetWhenExceptionThenCloseConnection/0,false,61,3,2,8,12,0,2,0,8,0,0,0,0,1,0,0,0,2,0,1,0,0,0,30,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationMockTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationMockTests,enableRedisKeyspaceNotificationsInitializerAfterPropertiesSetWhenNoOpThenNoInteractionWithConnectionFactory/0,false,50,2,1,2,5,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationMockTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationMockTests,enableRedisKeyspaceNotificationsInitializerAfterPropertiesSetWhenNoExceptionThenCloseConnection/0,false,80,3,1,4,6,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationMockTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationMockTests,setup/0,false,44,1,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationOverrideDefaultSerializerTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationOverrideDefaultSerializerTests,overrideDefaultRedisTemplate/0,false,58,1,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationOverrideDefaultSerializerTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationOverrideDefaultSerializerTests$Config,connectionFactory/0,false,73,3,1,6,7,1,2,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationOverrideDefaultSerializerTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationOverrideDefaultSerializerTests$Config,springSessionDefaultRedisSerializer/0,false,68,2,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationTests$QualifiedConnectionFactoryRedisConfig,qualifiedRedisConnectionFactory/0,false,247,4,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationTests$CustomCleanupCronExpressionSetterConfiguration,CustomCleanupCronExpressionSetterConfiguration/0,true,235,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationTests$NamedConnectionFactoryRedisConfig,redisConnectionFactory/0,false,288,3,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-session-a5a3bc5d0b57d396882199dfbf8cb560a355ca1e/spring-session-data-redis/src/test/java/org/springframework/session/data/redis/config/annotation/web/http/RedisHttpSessionConfigurationTests.java,org.springframework.session.data.redis.config.annotation.web.http.RedisHttpSessionConfigurationTests$PropertySourceConfiguration,propertySourcesPlaceholderConfigurer/0,false,210,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
