file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-b2715375f0ee98cda5e2e29728e51943822f938c/spring-social-security/src/test/java/org/springframework/social/security/test/ArgMatchers.java,org.springframework.social.security.test.ArgMatchers$Anonymous3,matches/1[org.springframework.social.oauth1.AuthorizedRequestToken],false,66,2,1,4,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-b2715375f0ee98cda5e2e29728e51943822f938c/spring-social-security/src/test/java/org/springframework/social/security/test/ArgMatchers.java,org.springframework.social.security.test.ArgMatchers$Anonymous1,matches/1[org.springframework.social.oauth2.OAuth2Parameters],false,36,2,1,4,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-b2715375f0ee98cda5e2e29728e51943822f938c/spring-social-security/src/test/java/org/springframework/social/security/test/ArgMatchers.java,org.springframework.social.security.test.ArgMatchers$Anonymous2,matches/1[org.springframework.social.oauth1.OAuthToken],false,51,2,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-b2715375f0ee98cda5e2e29728e51943822f938c/spring-social-security/src/test/java/org/springframework/social/security/test/ArgMatchers.java,org.springframework.social.security.test.ArgMatchers,ArgMatchers/0,true,25,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-b2715375f0ee98cda5e2e29728e51943822f938c/spring-social-security/src/test/java/org/springframework/social/security/test/ArgMatchers.java,org.springframework.social.security.test.ArgMatchers,"oAuth2Parameters/3[java.lang.String,java.lang.String,java.lang.String]",false,33,2,1,1,8,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-b2715375f0ee98cda5e2e29728e51943822f938c/spring-social-security/src/test/java/org/springframework/social/security/test/ArgMatchers.java,org.springframework.social.security.test.ArgMatchers,"oAuthToken/2[java.lang.String,java.lang.String]",false,48,2,1,1,8,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-b2715375f0ee98cda5e2e29728e51943822f938c/spring-social-security/src/test/java/org/springframework/social/security/test/ArgMatchers.java,org.springframework.social.security.test.ArgMatchers,"eq/2[java.lang.Object,java.lang.Object]",false,74,0,2,1,3,1,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-b2715375f0ee98cda5e2e29728e51943822f938c/spring-social-security/src/test/java/org/springframework/social/security/test/ArgMatchers.java,org.springframework.social.security.test.ArgMatchers,oAuth2Parameters/1[java.lang.String],false,29,2,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-b2715375f0ee98cda5e2e29728e51943822f938c/spring-social-security/src/test/java/org/springframework/social/security/test/ArgMatchers.java,org.springframework.social.security.test.ArgMatchers,"authorizedRequestToken/3[java.lang.String,java.lang.String,java.lang.String]",false,63,2,1,1,8,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-b2715375f0ee98cda5e2e29728e51943822f938c/spring-social-security/src/test/java/org/springframework/social/security/test/ArgMatchers.java,org.springframework.social.security.test.ArgMatchers,oAuthToken/1[org.springframework.social.oauth1.OAuthToken],false,44,2,1,3,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
