file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/GistTemplateTest.java,org.springframework.social.github.api.impl.GistTemplateTest,getGistComment/0,false,116,6,1,11,6,0,1,0,11,1,1,0,0,0,0,2,1,1,0,0,0,0,0,21,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/GistTemplateTest.java,org.springframework.social.github.api.impl.GistTemplateTest,getGists_Authenticated/0,false,80,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/GistTemplateTest.java,org.springframework.social.github.api.impl.GistTemplateTest,getGistComments/0,false,105,6,1,14,7,0,1,0,14,1,1,0,0,0,0,3,2,1,0,0,0,0,0,19,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/GistTemplateTest.java,org.springframework.social.github.api.impl.GistTemplateTest,getGists_Anonymous/0,false,70,5,1,12,6,0,1,0,12,0,0,0,0,0,0,2,1,1,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/GistTemplateTest.java,org.springframework.social.github.api.impl.GistTemplateTest,getUserGists/0,false,38,6,1,31,22,0,3,0,31,0,0,0,0,0,0,11,4,3,0,0,0,0,0,31,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/GistTemplateTest.java,org.springframework.social.github.api.impl.GistTemplateTest,getStarredGists/0,false,95,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/GistTemplateTest.java,org.springframework.social.github.api.impl.GistTemplateTest,getGist/0,false,100,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/GistTemplateTest.java,org.springframework.social.github.api.impl.GistTemplateTest,verifyComment/1[org.springframework.social.github.api.GitHubComment],false,125,2,1,9,8,0,0,1,9,0,0,0,0,0,0,3,1,0,0,0,0,0,0,13,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/GistTemplateTest.java,org.springframework.social.github.api.impl.GistTemplateTest,getPublicGists/0,false,85,5,1,12,6,0,1,0,12,0,0,0,0,0,0,2,1,1,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/AbstractGitHubApiTest.java,org.springframework.social.github.api.impl.AbstractGitHubApiTest,jsonResource/1[java.lang.String],false,52,2,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/AbstractGitHubApiTest.java,org.springframework.social.github.api.impl.AbstractGitHubApiTest,setup/0,false,39,3,1,3,8,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/UserTemplateTest.java,org.springframework.social.github.api.impl.UserTemplateTest,getFollowing/0,false,75,4,1,12,5,0,0,0,12,0,0,0,0,0,0,3,1,0,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/UserTemplateTest.java,org.springframework.social.github.api.impl.UserTemplateTest,getProfileId/0,false,50,4,1,11,4,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/UserTemplateTest.java,org.springframework.social.github.api.impl.UserTemplateTest,getFollowers/0,false,66,4,1,12,5,0,0,0,12,0,0,0,0,0,0,3,1,0,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/spring-social-github-7939988245be49486d27c42c30bfb0a567c6ec1b/spring-social-github/src/test/java/org/springframework/social/github/api/impl/UserTemplateTest.java,org.springframework.social.github.api.impl.UserTemplateTest,getUserProfile/0,false,36,5,1,17,10,0,1,0,17,0,0,0,0,0,0,9,1,1,0,0,0,0,0,24,1,0,false
