file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/struts1-02c9ff7485b1900515c6e0b32ed54ea46dd97d51/tiles2/src/test/java/org/apache/struts/tiles2/TestTilesPlugin.java,org.apache.struts.tiles2.TestTilesPlugin,setUp/0,false,110,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/struts1-02c9ff7485b1900515c6e0b32ed54ea46dd97d51/tiles2/src/test/java/org/apache/struts/tiles2/TestTilesPlugin.java,org.apache.struts.tiles2.TestTilesPlugin,suite/0,false,101,3,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/struts1-02c9ff7485b1900515c6e0b32ed54ea46dd97d51/tiles2/src/test/java/org/apache/struts/tiles2/TestTilesPlugin.java,org.apache.struts.tiles2.TestTilesPlugin,TestTilesPlugin/1[java.lang.String],true,82,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/struts1-02c9ff7485b1900515c6e0b32ed54ea46dd97d51/tiles2/src/test/java/org/apache/struts/tiles2/TestTilesPlugin.java,org.apache.struts.tiles2.TestTilesPlugin,"createModuleConfig/3[java.lang.String,java.lang.String,boolean]",false,267,4,2,6,10,1,2,3,6,0,0,0,0,0,1,6,0,2,2,0,0,0,0,25,2,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/struts1-02c9ff7485b1900515c6e0b32ed54ea46dd97d51/tiles2/src/test/java/org/apache/struts/tiles2/TestTilesPlugin.java,org.apache.struts.tiles2.TestTilesPlugin,testMultiFactory/0,false,143,6,1,13,17,0,3,0,13,2,1,0,0,0,2,13,0,5,0,0,0,0,0,47,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/struts1-02c9ff7485b1900515c6e0b32ed54ea46dd97d51/tiles2/src/test/java/org/apache/struts/tiles2/TestTilesPlugin.java,org.apache.struts.tiles2.TestTilesPlugin,testMultiModuleFailFast/0,false,191,1,2,4,12,0,0,0,4,2,1,0,0,1,0,6,0,2,0,1,0,0,0,49,1,1,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/struts1-02c9ff7485b1900515c6e0b32ed54ea46dd97d51/tiles2/src/test/java/org/apache/struts/tiles2/TestTilesPlugin.java,org.apache.struts.tiles2.TestTilesPlugin,testSingleSharedFactory/0,false,218,6,2,15,23,0,3,0,15,2,1,0,0,1,2,13,0,5,0,1,0,0,0,56,1,1,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/struts1-02c9ff7485b1900515c6e0b32ed54ea46dd97d51/tiles2/src/test/java/org/apache/struts/tiles2/TestTilesPlugin.java,org.apache.struts.tiles2.TestTilesPlugin,initModulePlugIns/1[org.apache.struts.config.ModuleConfig],false,300,5,2,9,11,0,3,1,9,0,0,1,0,0,0,1,1,4,1,1,0,0,0,34,2,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/struts1-02c9ff7485b1900515c6e0b32ed54ea46dd97d51/tiles2/src/test/java/org/apache/struts/tiles2/TestTilesPlugin.java,org.apache.struts.tiles2.TestTilesPlugin,main/1[java.lang.String[]],false,91,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/struts1-02c9ff7485b1900515c6e0b32ed54ea46dd97d51/tiles2/src/test/java/org/apache/struts/tiles2/TestTilesPlugin.java,org.apache.struts.tiles2.TestTilesPlugin,tearDown/0,false,117,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,true
