file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,testLines4/0,false,64,7,1,10,7,0,1,0,10,0,0,0,0,0,0,1,4,1,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,positionValue/0,false,135,6,7,5,12,0,2,0,5,0,0,0,0,0,0,2,9,4,4,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,positionKey/0,false,110,6,7,5,12,0,2,0,5,0,0,0,0,0,0,3,9,4,4,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,testLines3/0,false,53,7,1,12,9,0,1,0,12,0,0,0,0,0,0,1,4,1,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,positionEmptyValue/0,false,163,6,3,5,6,0,2,0,5,0,0,0,0,0,0,2,3,2,2,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,testLines5/0,false,73,6,1,8,6,0,1,0,8,0,0,0,0,0,0,1,3,1,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,positionPair/0,false,127,6,3,5,6,0,2,0,5,0,0,0,0,0,0,3,3,2,2,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,testLines1/0,false,33,6,1,10,8,0,1,0,10,0,0,0,0,0,0,1,3,1,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,positionComment/0,false,81,6,7,5,12,0,2,0,5,0,0,0,0,0,0,2,9,4,4,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,positionEmptyLine/0,false,98,6,5,5,9,0,2,0,5,0,0,0,0,0,0,3,6,3,3,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,testLines2/0,false,43,6,1,10,8,0,1,0,10,0,0,0,0,0,0,1,3,1,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAstTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAstTest,positionValueEofAtEnd/0,false,151,6,5,5,9,0,2,0,5,0,0,0,0,0,0,2,6,3,3,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAntlrParserTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAntlrParserTest,testPropertyWithEqualsSeparator/0,false,87,2,1,1,3,0,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAntlrParserTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAntlrParserTest,testEqualsValueSeparatedWithEqualsAndSpace/0,false,142,2,1,1,3,0,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAntlrParserTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAntlrParserTest,testKeyWithLeadingSpaces/0,false,122,2,1,1,3,0,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAntlrParserTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAntlrParserTest,testEqualsValue/0,false,137,2,1,1,3,0,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAntlrParserTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAntlrParserTest,testSharpCommentWithSpaces/0,false,82,2,1,1,3,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/sts4-46e9e985b0c5e28ea1952d9fc640ec12fd9c8fdd/headless-services/commons/java-properties/src/test/java/org/springframework/ide/vscode/java/properties/parser/test/PropertiesAntlrParserTest.java,org.springframework.ide.vscode.java.properties.parser.test.PropertiesAntlrParserTest,testPropertyWithColonSeparator/0,false,97,2,1,1,3,0,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,7,1,0,false
