file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$ExtFilter,accept/1[java.io.File],false,68,0,2,3,4,2,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$ExtFilter,"ExtFilter/2[java.lang.String,boolean]",true,63,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$PathNode,hasChildren/0,false,111,1,2,2,3,1,0,0,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$PathNode,getText/0,false,107,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$PathNode,getImage/0,false,115,1,3,5,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$PathNode,getParent/0,false,103,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$PathNode,"PathNode/3[org.eclipse.texlipse.ui.KpathseaProvider.ITreeNode,java.io.File,java.io.FileFilter]",true,87,1,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$PathNode,getChildren/0,false,93,1,2,1,6,1,3,0,1,0,0,1,0,0,0,0,1,4,0,1,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$TopLevel,getImage/0,false,227,1,1,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$TopLevel,getParent/0,false,219,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$TopLevel,getProject/0,false,223,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$TopLevel,getChildren/0,false,207,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/texlipse-1bc72f856d4144ad0bc9baaa9575457bd7b68e1a/org.eclipse.texlipse/source/org/eclipse/texlipse/ui/KpathseaProvider.java,org.eclipse.texlipse.ui.KpathseaProvider$TopLevel,hasChildren/0,false,211,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
