file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/core/TestAdminHelper.java,com.uber.stream.kafka.mirrormaker.manager.core.TestAdminHelper,testSetControllerAutobalancing/0,false,29,6,1,15,17,0,7,0,15,0,0,0,0,0,0,7,2,7,0,0,0,0,0,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/core/TestAdminHelper.java,com.uber.stream.kafka.mirrormaker.manager.core.TestAdminHelper,testGetControllerAutobalancing/0,false,49,7,1,15,18,0,8,0,15,0,0,0,0,0,0,6,2,8,0,0,0,0,0,30,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/reporter/TestHelixKafkaMirrorMakerMetricsReporter.java,com.uber.stream.kafka.mirrormaker.manager.reporter.TestHelixKafkaMirrorMakerMetricsReporter,testDefaultConf/0,false,32,8,3,24,36,0,8,0,24,0,0,0,1,1,0,10,3,8,0,2,0,0,0,23,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ZkStarter.java,com.uber.stream.kafka.mirrormaker.manager.utils.ZkStarter$Anonymous1,run/0,false,99,1,3,2,11,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,8,1,2,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ZkStarter.java,com.uber.stream.kafka.mirrormaker.manager.utils.ZkStarter$PublicZooKeeperServerMain,initializeAndRun/1[java.lang.String[]],false,45,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ZkStarter.java,com.uber.stream.kafka.mirrormaker.manager.utils.ZkStarter$PublicZooKeeperServerMain,shutdown/0,false,50,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ZkStarter.java,com.uber.stream.kafka.mirrormaker.manager.utils.ZkStarter,startLocalZkServer/0,false,58,1,2,2,8,0,0,0,2,1,2,0,0,1,0,1,0,0,1,1,0,0,0,29,9,1,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ZkStarter.java,com.uber.stream.kafka.mirrormaker.manager.utils.ZkStarter,stopLocalZkServer/1[boolean],false,136,1,4,3,15,0,0,1,3,0,0,0,1,1,0,1,0,1,0,3,0,0,0,29,41,1,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ZkStarter.java,com.uber.stream.kafka.mirrormaker.manager.utils.ZkStarter,stopLocalZkServer/0,false,123,1,2,2,8,0,0,0,2,1,1,0,0,1,0,1,0,0,1,1,0,0,0,15,9,1,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ZkStarter.java,com.uber.stream.kafka.mirrormaker.manager.utils.ZkStarter,"startLocalZkServer/2[int,java.lang.String]",false,84,2,3,6,32,0,2,2,6,0,0,0,1,1,0,4,2,4,2,1,1,0,0,43,41,2,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ZkStarter.java,com.uber.stream.kafka.mirrormaker.manager.utils.ZkStarter,startLocalZkServer/1[int],false,73,1,1,3,3,0,0,1,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,18,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ManagerRequestURLBuilder.java,com.uber.stream.kafka.mirrormaker.manager.utils.ManagerRequestURLBuilder,ManagerRequestURLBuilder/1[java.lang.String],true,28,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ManagerRequestURLBuilder.java,com.uber.stream.kafka.mirrormaker.manager.utils.ManagerRequestURLBuilder,"getTopicDeleteRequestUrl/3[java.lang.String,java.lang.String,java.lang.String]",false,63,1,1,1,5,1,2,3,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ManagerRequestURLBuilder.java,com.uber.stream.kafka.mirrormaker.manager.utils.ManagerRequestURLBuilder,"postSetControllerRebalance/3[java.lang.String,java.lang.String,boolean]",false,91,1,1,1,5,1,2,3,1,0,0,0,0,0,0,3,0,2,1,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ManagerRequestURLBuilder.java,com.uber.stream.kafka.mirrormaker.manager.utils.ManagerRequestURLBuilder,"getTopicCreationRequestUrl/3[java.lang.String,java.lang.String,java.lang.String]",false,72,1,1,1,5,1,2,3,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ManagerRequestURLBuilder.java,com.uber.stream.kafka.mirrormaker.manager.utils.ManagerRequestURLBuilder,postInstanceRebalance/0,false,45,1,1,1,5,1,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ManagerRequestURLBuilder.java,com.uber.stream.kafka.mirrormaker.manager.utils.ManagerRequestURLBuilder,getHealthCheck/0,false,36,1,1,1,5,1,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/uReplicator-97868ace4916b206ceed87d77e6db870b6253761/uReplicator-Manager/src/test/java/com/uber/stream/kafka/mirrormaker/manager/utils/ManagerRequestURLBuilder.java,com.uber.stream.kafka.mirrormaker.manager.utils.ManagerRequestURLBuilder,"getTopicExpansionRequestUrl/4[java.lang.String,java.lang.String,java.lang.String,int]",false,82,1,1,2,5,1,2,4,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,11,1,0,false
