file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/test/java/org/eclipse/vorto/repository/importer/ipso/IPSOModelImporterTest.java,org.eclipse.vorto.repository.importer.ipso.IPSOModelImporterTest,testUploadExistingIPSOModelInDraftStateByAdmin/0,false,108,12,1,17,10,0,3,0,17,1,1,0,0,0,0,5,3,3,0,0,0,0,0,28,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/test/java/org/eclipse/vorto/repository/importer/ipso/IPSOModelImporterTest.java,org.eclipse.vorto.repository.importer.ipso.IPSOModelImporterTest,testPreventXXEAttack/0,false,50,5,1,2,4,0,1,0,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/test/java/org/eclipse/vorto/repository/importer/ipso/IPSOModelImporterTest.java,org.eclipse.vorto.repository.importer.ipso.IPSOModelImporterTest,testUploadZipContainingNonIPSOFiles/0,false,135,9,1,15,9,0,2,0,15,0,0,0,0,0,0,3,4,2,0,0,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/test/java/org/eclipse/vorto/repository/importer/ipso/IPSOModelImporterTest.java,org.eclipse.vorto.repository.importer.ipso.IPSOModelImporterTest,beforeEach/0,false,40,3,1,5,8,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/test/java/org/eclipse/vorto/repository/importer/ipso/IPSOModelImporterTest.java,org.eclipse.vorto.repository.importer.ipso.IPSOModelImporterTest,testImportModel/0,false,67,7,1,7,6,0,2,0,7,1,1,0,0,0,0,2,2,2,0,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/test/java/org/eclipse/vorto/repository/importer/ipso/IPSOModelImporterTest.java,org.eclipse.vorto.repository.importer.ipso.IPSOModelImporterTest,"importIPSO/2[java.lang.String,org.eclipse.vorto.repository.core.IUserContext]",false,124,6,1,6,4,1,1,2,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,17,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/test/java/org/eclipse/vorto/repository/importer/ipso/IPSOModelImporterTest.java,org.eclipse.vorto.repository.importer.ipso.IPSOModelImporterTest,testUploadExistingIPSOModelBySameUser/0,false,76,12,1,17,10,0,3,0,17,1,1,0,0,0,0,4,3,3,0,0,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/test/java/org/eclipse/vorto/repository/importer/ipso/IPSOModelImporterTest.java,org.eclipse.vorto.repository.importer.ipso.IPSOModelImporterTest,testUploadNonExistingIPSOModel/0,false,56,7,1,7,5,0,2,0,7,0,0,0,0,0,0,3,0,2,0,0,0,0,0,21,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/test/java/org/eclipse/vorto/repository/importer/ipso/IPSOModelImporterTest.java,org.eclipse.vorto.repository.importer.ipso.IPSOModelImporterTest,testUploadExistingIPSOModelByDifferentUser/0,false,92,9,1,13,9,0,2,0,13,1,1,0,0,0,0,5,1,2,0,0,0,0,0,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,getType/0,false,802,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,setType/1[java.lang.String],false,812,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,setName/1[java.lang.String],false,732,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,getUnits/0,false,842,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,setDescription/1[java.lang.String],false,872,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,setMultipleInstances/1[java.lang.String],false,772,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,getOperations/0,false,742,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,getMultipleInstances/0,false,762,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,setOperations/1[java.lang.String],false,752,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,setID/1[int],false,888,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,setUnits/1[java.lang.String],false,852,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,getDescription/0,false,862,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,getRangeEnumeration/0,false,822,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,getID/0,false,880,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,getName/0,false,722,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,getMandatory/0,false,782,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,setMandatory/1[java.lang.String],false,792,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources$Item,setRangeEnumeration/1[java.lang.String],false,832,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object$Resources,getItem/0,false,614,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,51,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,getName/0,false,335,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,getObjectURN/0,false,391,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,getResources/0,false,451,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,setResources/1[org.eclipse.vorto.repository.importer.ipso.LWM2M.Object.Resources],false,461,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,getObjectType/0,false,491,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,setMultipleInstances/1[java.lang.String],false,421,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,setObjectID/1[int],false,381,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,getDescription1/0,false,355,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,getObjectID/0,false,373,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,getMultipleInstances/0,false,411,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/vorto-93919469e598ec07fed134536b901efd25cf674f/repository/repository-importer/importer-ipso/src/main/java/org/eclipse/vorto/repository/importer/ipso/LWM2M.java,org.eclipse.vorto.repository.importer.ipso.LWM2M$Object,setObjectURN/1[java.lang.String],false,401,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,true
