file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/DOM2DOM/DOM2DOM.java,DOM2DOM,main/1[java.lang.String[]],false,51,6,3,16,26,0,11,1,16,0,0,0,0,0,0,10,0,11,0,1,0,0,0,29,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/TransformThread/TransformThread.java,TransformThread,TransformThread/1[int],true,123,1,2,9,20,0,3,1,9,2,1,0,0,1,1,0,1,9,1,1,0,0,0,36,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/TransformThread/TransformThread.java,TransformThread,initResult/0,false,157,1,6,2,23,0,3,0,2,0,0,1,0,1,0,2,2,6,1,3,0,0,0,37,2,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/TransformThread/TransformThread.java,TransformThread,main/1[java.lang.String[]],false,306,1,3,5,13,0,1,1,5,2,1,1,0,1,0,0,2,1,0,2,0,0,0,22,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/TransformThread/TransformThread.java,TransformThread,initSystemProperties/0,false,287,0,2,3,9,0,3,0,3,0,0,0,0,0,0,2,0,3,0,1,0,0,0,24,10,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/TransformThread/TransformThread.java,TransformThread,run/0,false,254,0,3,3,11,0,1,0,3,0,0,1,0,1,0,0,2,1,0,2,0,0,0,15,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/TransformThread/TransformThread.java,TransformThread,initThreads/0,false,274,1,2,0,6,0,1,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,21,10,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/TransformThread/TransformThread.java,TransformThread,initSource/0,false,194,1,8,9,33,0,3,0,9,0,0,1,1,2,1,0,2,7,2,4,0,0,0,40,2,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate,"parse/2[java.lang.String,java.lang.String]",false,156,3,5,12,36,0,7,2,12,0,0,0,0,1,0,10,0,7,4,2,0,0,0,51,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate,validate/1[java.lang.String[]],false,87,2,16,12,40,1,5,1,12,1,1,1,5,0,1,16,17,7,12,3,0,0,0,50,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate,main/1[java.lang.String[]],false,57,1,5,5,23,2,7,1,5,1,2,0,1,1,0,8,3,7,1,1,0,0,0,61,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$XMLFileFilter,"accept/2[java.io.File,java.lang.String]",false,210,0,1,4,3,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$Handler,endEntity/1[java.lang.String],false,259,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$Handler,"Handler/2[java.lang.String,java.lang.StringBuffer]",true,224,0,1,0,7,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$Handler,startCDATA/0,false,262,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$Handler,endCDATA/0,false,265,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$Handler,startEntity/1[java.lang.String],false,256,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$Handler,"comment/3[char[],int,int]",false,268,1,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$Handler,error/1[org.xml.sax.SAXParseException],false,233,2,1,2,4,0,0,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$Handler,warning/1[org.xml.sax.SAXParseException],false,238,2,1,2,4,0,0,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$Handler,"startDTD/3[java.lang.String,java.lang.String,java.lang.String]",false,248,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/Validate.java,Validate$Handler,endDTD/0,false,253,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/ValidateXMLInput.java,ValidateXMLInput,main/1[java.lang.String[]],false,48,1,1,1,4,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/ValidateXMLInput.java,ValidateXMLInput,validate/0,false,55,3,3,12,21,0,6,0,12,0,0,0,0,1,0,6,0,6,1,2,0,0,0,33,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/ValidateXMLInput.java,ValidateXMLInput$Handler,error/1[org.xml.sax.SAXParseException],false,111,2,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/Validate/ValidateXMLInput.java,ValidateXMLInput$Handler,warning/1[org.xml.sax.SAXParseException],false,105,2,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/XSLTServletWithParams.java,servlet.XSLTServletWithParams,"getRequestParam/2[servlet.HttpServletRequest,java.lang.String]",false,119,1,2,1,7,2,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/XSLTServletWithParams.java,servlet.XSLTServletWithParams,"setParameters/2[javax.xml.transform.Transformer,servlet.HttpServletRequest]",false,130,1,4,5,12,0,3,2,5,0,0,1,1,1,0,0,0,3,0,3,0,0,0,12,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/XSLTServletWithParams.java,servlet.XSLTServletWithParams,init/1[servlet.ServletConfig],false,60,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/XSLTServletWithParams.java,servlet.XSLTServletWithParams,"doGet/2[servlet.HttpServletRequest,servlet.HttpServletResponse]",false,67,3,9,15,32,0,11,2,15,2,1,0,5,1,0,10,2,15,3,3,0,0,0,44,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,"displayException/3[servlet.HttpServletResponse,servlet.ApplyXSLTException,boolean]",false,645,2,5,12,22,0,5,3,12,0,0,1,1,1,0,8,0,9,3,1,0,0,0,75,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,"getStylesheet/4[javax.xml.transform.TransformerFactory,servlet.HttpServletRequest,javax.xml.transform.stream.StreamSource,servlet.ApplyXSLTListener]",false,448,6,7,6,21,1,1,4,6,2,1,0,4,1,2,4,0,3,4,5,0,0,0,123,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,"setStylesheetParams/2[javax.xml.transform.Transformer,servlet.HttpServletRequest]",false,539,2,7,8,27,0,3,2,8,0,0,1,1,4,0,3,1,3,0,3,0,0,0,85,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,writeLog/1[servlet.ApplyXSLTException],false,592,2,1,4,3,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,"writeLog/3[java.lang.String,int,java.lang.Throwable]",false,608,1,2,7,10,0,2,3,7,1,1,0,1,0,0,3,0,2,2,2,0,0,0,45,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,"getDocument/2[servlet.HttpServletRequest,servlet.ApplyXSLTListener]",false,380,5,7,10,25,4,2,2,10,0,0,0,3,1,4,5,0,4,2,2,0,0,0,96,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,"writeLog/2[java.lang.String,int]",false,631,0,1,1,3,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,24,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,init/1[servlet.ServletConfig],false,106,2,2,8,10,0,0,1,8,2,3,0,1,0,0,3,0,2,2,1,0,0,0,36,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,"getXSLURLfromDoc/4[javax.xml.transform.stream.StreamSource,java.lang.String,java.lang.String,javax.xml.transform.TransformerFactory]",false,719,3,9,11,25,2,9,4,11,0,0,1,3,1,2,6,1,12,0,6,0,0,0,76,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,"doGet/2[servlet.HttpServletRequest,servlet.HttpServletResponse]",false,208,3,2,2,8,0,1,2,2,1,5,0,0,1,0,0,0,1,0,1,0,0,0,25,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,setMediaProps/1[java.lang.String],false,140,2,7,2,34,0,2,1,2,1,2,0,2,4,0,8,0,7,5,3,0,0,0,63,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,"toAcceptLanguageConnection/2[java.net.URL,servlet.HttpServletRequest]",false,697,1,1,3,5,1,1,2,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,57,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,"process/3[javax.xml.transform.TransformerFactory,servlet.HttpServletRequest,servlet.HttpServletResponse]",false,243,7,19,20,70,0,11,3,20,7,4,0,6,4,4,11,1,19,7,6,0,0,0,109,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,getMedia/1[servlet.HttpServletRequest],false,190,2,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,setDefaultParameters/1[servlet.ServletConfig],false,128,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xalan-j-cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/samples/servlet/ApplyXSLT.java,servlet.ApplyXSLT,getContentType/1[javax.xml.transform.Templates],false,491,0,5,3,15,5,4,1,3,0,0,0,2,0,0,6,0,4,1,3,0,0,0,41,1,0,true
