file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest$AntOutputStream,write/1[int],false,397,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest$AntTestListener,buildStarted/1[tools.ant.BuildEvent],false,409,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest$AntTestListener,buildFinished/1[tools.ant.BuildEvent],false,418,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest$AntTestListener,taskFinished/1[tools.ant.BuildEvent],false,455,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest$AntTestListener,messageLogged/1[tools.ant.BuildEvent],false,465,1,4,3,6,0,0,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest$AntTestListener,targetFinished/1[tools.ant.BuildEvent],false,436,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest$AntTestListener,targetStarted/1[tools.ant.BuildEvent],false,426,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest$AntTestListener,taskStarted/1[tools.ant.BuildEvent],false,445,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,getOutput/0,false,177,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,getLog/0,false,123,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,"expectSpecificBuildException/3[java.lang.String,java.lang.String,java.lang.String]",false,284,1,4,4,13,1,0,3,4,1,4,0,1,1,2,5,0,1,2,2,0,0,0,37,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,"assertPropertyEquals/2[java.lang.String,java.lang.String]",false,339,0,1,2,4,0,1,2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,13,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,configureProject/1[java.lang.String],false,217,2,1,6,9,0,0,1,6,0,0,0,0,0,0,1,0,3,0,0,0,0,0,24,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,cleanBuffer/1[java.lang.StringBuffer],false,189,0,5,4,23,1,4,1,4,0,0,1,2,0,0,0,1,5,0,3,0,0,0,10,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,getBuildException/0,false,185,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,executeTarget/1[java.lang.String],false,233,2,1,7,24,0,4,1,7,2,3,0,0,1,0,2,0,9,1,1,0,0,0,40,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,getProject/0,false,264,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,getFullLog/0,false,144,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xmlbeans-20fd11dbee92d7a03299457588820c3c40af220d/test/tools/src/tools/ant/BuildFileTest.java,tools.ant.BuildFileTest,"expectOutput/2[java.lang.String,java.lang.String]",false,155,1,1,3,5,0,1,2,3,2,4,0,0,0,0,0,0,1,0,0,0,0,0,16,4,0,true
