file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xsemantics-63c2c5078380cfb9bf0e47d1ca031259b472368b/plugins/org.eclipse.xsemantics.dsl/xsemantics-gen/org/eclipse/xsemantics/dsl/typing/XsemanticsTypeSystemGen.java,org.eclipse.xsemantics.dsl.typing.XsemanticsTypeSystemGen$Anonymous8,get/0,false,338,1,1,4,3,1,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xsemantics-63c2c5078380cfb9bf0e47d1ca031259b472368b/plugins/org.eclipse.xsemantics.dsl/xsemantics-gen/org/eclipse/xsemantics/dsl/typing/XsemanticsTypeSystemGen.java,org.eclipse.xsemantics.dsl.typing.XsemanticsTypeSystemGen$Anonymous2,get/0,false,161,1,1,4,3,1,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xsemantics-63c2c5078380cfb9bf0e47d1ca031259b472368b/plugins/org.eclipse.xsemantics.dsl/xsemantics-gen/org/eclipse/xsemantics/dsl/typing/XsemanticsTypeSystemGen.java,org.eclipse.xsemantics.dsl.typing.XsemanticsTypeSystemGen$Anonymous3,get/0,false,190,1,1,4,3,1,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xsemantics-63c2c5078380cfb9bf0e47d1ca031259b472368b/plugins/org.eclipse.xsemantics.dsl/xsemantics-gen/org/eclipse/xsemantics/dsl/typing/XsemanticsTypeSystemGen.java,org.eclipse.xsemantics.dsl.typing.XsemanticsTypeSystemGen$Anonymous1,get/0,false,127,1,1,4,3,1,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xsemantics-63c2c5078380cfb9bf0e47d1ca031259b472368b/plugins/org.eclipse.xsemantics.dsl/xsemantics-gen/org/eclipse/xsemantics/dsl/typing/XsemanticsTypeSystemGen.java,org.eclipse.xsemantics.dsl.typing.XsemanticsTypeSystemGen$Anonymous6,get/0,false,280,1,1,4,3,1,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xsemantics-63c2c5078380cfb9bf0e47d1ca031259b472368b/plugins/org.eclipse.xsemantics.dsl/xsemantics-gen/org/eclipse/xsemantics/dsl/typing/XsemanticsTypeSystemGen.java,org.eclipse.xsemantics.dsl.typing.XsemanticsTypeSystemGen$Anonymous7,get/0,false,309,1,1,4,3,1,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xsemantics-63c2c5078380cfb9bf0e47d1ca031259b472368b/plugins/org.eclipse.xsemantics.dsl/xsemantics-gen/org/eclipse/xsemantics/dsl/typing/XsemanticsTypeSystemGen.java,org.eclipse.xsemantics.dsl.typing.XsemanticsTypeSystemGen$Anonymous4,get/0,false,220,1,1,4,3,1,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xsemantics-63c2c5078380cfb9bf0e47d1ca031259b472368b/plugins/org.eclipse.xsemantics.dsl/xsemantics-gen/org/eclipse/xsemantics/dsl/typing/XsemanticsTypeSystemGen.java,org.eclipse.xsemantics.dsl.typing.XsemanticsTypeSystemGen,"_applyRuleRuleParameterType_1/2[org.eclipse.xsemantics.runtime.RuleEnvironment,org.eclipse.xsemantics.dsl.typing.RuleParameter]",false,239,4,1,2,5,1,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xsemantics-63c2c5078380cfb9bf0e47d1ca031259b472368b/plugins/org.eclipse.xsemantics.dsl/xsemantics-gen/org/eclipse/xsemantics/dsl/typing/XsemanticsTypeSystemGen.java,org.eclipse.xsemantics.dsl.typing.XsemanticsTypeSystemGen,getTypeReferences/0,false,76,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/xsemantics-63c2c5078380cfb9bf0e47d1ca031259b472368b/plugins/org.eclipse.xsemantics.dsl/xsemantics-gen/org/eclipse/xsemantics/dsl/typing/XsemanticsTypeSystemGen.java,org.eclipse.xsemantics.dsl.typing.XsemanticsTypeSystemGen,"applyRuleInputParameterType/3[org.eclipse.xsemantics.runtime.RuleEnvironment,org.eclipse.xsemantics.runtime.RuleApplicationTrace,org.eclipse.xsemantics.dsl.typing.InputParameter]",false,264,6,1,1,3,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,false
